Student_ID,Age,Gender,Marital_Status,Course_Chosen,Application_Mode,Residence_Location,Parental_Education,Parental_Income_Level,Employment_Status,Semester_Enrolled_Units,Semester_Credited_Units,Semester_Evaluated_Units,Semester_Approved_Units,Semester_Average_Grade,Retention,Unemployment_Rate,Inflation_Rate,Regional_GDP,Year,GPA,Attendance,Assignment_Score,Course_Failures,LMS_Activity,Credit_Load
STUD_1000,21,Other,Widowed,Management,Online,Suburban,Master,61820,Employed,7,7,2,5,3.33,1,5.6,3.7,33896,2021,4.77,71,60.9,5,147,20
STUD_1001,18,Female,Single,Journalism,Online,Urban,High School,80667,Part-time,5,3,3,3,2.97,1,5.0,3.9,33230,2023,4.18,62,68.7,3,54,19
STUD_1002,21,Other,Widowed,Agronomy,Online,Rural,PhD,73740,Unemployed,5,2,2,0,2.71,1,4.4,2.8,39899,2023,2.54,85,43.4,3,465,15
STUD_1003,22,Other,Single,Journalism,Online,Urban,High School,94024,Part-time,4,2,3,2,1.38,1,4.4,2.8,24286,2022,2.16,81,91.6,5,184,24
STUD_1004,22,Female,Married,Engineering,In-person,Rural,Master,51704,Employed,4,2,3,1,2.98,1,5.2,2.2,29604,2023,2.2,62,71.2,4,148,24
STUD_1005,32,Other,Widowed,Journalism,Online,Urban,Master,23083,Employed,6,2,6,2,2.53,1,4.3,2.5,31970,2022,2.09,64,58.9,3,881,23
STUD_1006,33,Female,Widowed,Management,In-person,Suburban,Bachelor,51359,Part-time,2,2,2,2,2.81,1,5.3,2.6,23305,2021,1.76,79,62.5,2,27,14
STUD_1007,28,Other,Single,Engineering,Online,Suburban,PhD,78840,Part-time,7,3,7,0,2.68,0,5.3,2.8,36297,2023,2.31,67,42.4,4,72,17
STUD_1008,31,Male,Married,Engineering,Online,Urban,Master,100719,Employed,7,2,5,1,3.57,1,4.0,2.4,33763,2023,2.65,61,75.7,0,356,22
STUD_1009,32,Other,Married,Management,Online,Suburban,High School,119257,Unemployed,6,6,5,4,3.49,1,4.9,2.1,25184,2021,4.09,84,63.1,4,974,15
STUD_1010,27,Male,Married,Journalism,In-person,Rural,PhD,100766,Employed,4,4,2,4,2.6,1,4.5,3.0,22758,2021,3.04,85,99.0,3,365,18
STUD_1011,25,Other,Married,Agronomy,In-person,Suburban,High School,118209,Unemployed,7,2,5,2,3.5,0,5.6,2.5,37810,2021,1.75,98,57.1,3,223,20
STUD_1012,32,Male,Single,Agronomy,In-person,Rural,Bachelor,137109,Part-time,4,2,2,0,2.43,1,5.3,2.5,22679,2022,3.54,65,46.8,3,112,17
STUD_1013,22,Male,Widowed,Management,In-person,Urban,PhD,93804,Unemployed,5,3,3,0,1.3,0,4.4,2.7,36977,2022,3.7,78,96.1,4,851,12
STUD_1014,34,Female,Widowed,Journalism,Online,Rural,Bachelor,142494,Employed,5,4,5,2,1.96,1,4.5,2.0,25988,2021,2.99,63,99.5,0,753,18
STUD_1015,25,Other,Widowed,Management,Online,Suburban,Bachelor,125099,Unemployed,4,4,4,1,1.56,1,4.4,3.3,30976,2021,4.44,65,71.7,0,796,23
STUD_1016,32,Female,Widowed,Journalism,Online,Suburban,High School,78093,Unemployed,6,6,2,4,1.73,1,4.3,3.9,32525,2022,1.46,69,58.1,1,575,16
STUD_1017,30,Female,Married,Management,In-person,Urban,Master,121726,Part-time,3,2,2,0,3.03,1,5.3,3.8,25468,2021,4.57,86,50.2,3,327,13
STUD_1018,32,Female,Single,Engineering,In-person,Rural,High School,78975,Part-time,7,6,2,1,3.75,1,4.8,3.4,20396,2023,1.96,62,91.5,2,352,14
STUD_1019,19,Male,Married,Journalism,In-person,Urban,High School,22751,Unemployed,6,2,2,1,2.27,1,5.0,2.2,20511,2022,2.16,69,92.3,2,855,18
STUD_1020,32,Male,Single,Journalism,Online,Suburban,Bachelor,141036,Employed,3,3,2,0,2.22,1,4.7,3.8,38063,2022,1.14,54,67.7,0,487,19
STUD_1021,29,Other,Widowed,Agronomy,Online,Urban,High School,39389,Unemployed,5,4,4,2,3.2,0,4.0,3.7,39525,2023,3.78,73,78.0,1,813,15
STUD_1022,29,Male,Single,Management,Online,Urban,PhD,57999,Employed,6,4,3,2,2.07,1,5.3,3.7,33575,2023,2.71,65,79.2,0,762,16
STUD_1023,29,Male,Married,Agronomy,Online,Rural,High School,48718,Part-time,6,5,5,3,2.95,1,4.3,3.8,34021,2022,4.72,86,90.7,1,623,14
STUD_1024,29,Other,Single,Agronomy,Online,Rural,Master,133204,Employed,2,2,2,0,2.64,0,6.0,3.2,33685,2022,4.12,84,69.8,5,317,24
STUD_1025,34,Female,Single,Management,In-person,Rural,Bachelor,146959,Employed,3,3,3,0,1.35,1,5.5,3.2,22072,2022,2.49,57,89.6,1,691,18
STUD_1026,30,Male,Married,Engineering,Online,Rural,Master,33538,Unemployed,5,3,4,0,2.06,0,4.1,3.0,26790,2022,2.31,84,44.6,1,661,13
STUD_1027,32,Other,Widowed,Engineering,In-person,Urban,Bachelor,93308,Part-time,3,2,2,1,2.64,1,4.9,2.5,31525,2023,1.27,76,85.0,5,857,16
STUD_1028,30,Male,Widowed,Agronomy,Online,Rural,PhD,31282,Part-time,2,2,2,2,2.38,1,5.5,2.6,33659,2021,2.16,84,56.6,4,630,18
STUD_1029,28,Male,Widowed,Journalism,In-person,Rural,Master,118743,Employed,7,3,6,2,2.83,0,5.2,3.6,29810,2022,1.03,93,84.8,1,834,15
STUD_1030,29,Female,Widowed,Management,In-person,Suburban,Bachelor,109305,Employed,5,3,5,1,1.18,0,6.0,3.6,36689,2022,3.43,97,91.1,4,32,12
STUD_1031,23,Female,Single,Journalism,In-person,Suburban,Bachelor,144920,Part-time,7,3,7,1,3.31,1,4.1,2.1,36388,2023,3.61,100,41.2,2,393,18
STUD_1032,18,Other,Widowed,Management,In-person,Suburban,High School,69239,Employed,5,5,4,3,3.25,1,4.4,2.0,20778,2023,2.48,79,74.9,0,756,18
STUD_1033,18,Male,Single,Management,In-person,Suburban,PhD,69159,Part-time,3,3,3,1,3.16,1,5.9,3.2,25387,2023,3.57,100,70.3,0,220,19
STUD_1034,28,Male,Widowed,Journalism,In-person,Urban,Bachelor,68011,Part-time,6,3,4,3,2.67,1,5.1,2.1,33855,2023,4.52,92,69.1,3,669,16
STUD_1035,25,Male,Widowed,Journalism,Online,Urban,Master,46515,Part-time,4,4,4,3,3.21,0,4.8,3.3,22237,2023,4.02,94,56.0,5,953,20
STUD_1036,29,Female,Single,Agronomy,In-person,Rural,Bachelor,111803,Employed,4,4,4,3,1.48,1,5.6,2.8,30366,2022,4.9,85,50.2,2,2,15
STUD_1037,30,Other,Single,Engineering,Online,Urban,PhD,34922,Part-time,3,2,3,2,1.6,1,4.6,3.1,27737,2022,4.19,95,82.1,4,370,15
STUD_1038,22,Female,Widowed,Agronomy,Online,Rural,Bachelor,53222,Part-time,6,6,2,6,1.46,0,5.5,2.6,20565,2023,1.55,99,75.5,0,487,12
STUD_1039,25,Female,Married,Agronomy,Online,Rural,Master,121295,Unemployed,2,2,2,0,2.89,0,5.8,3.1,21551,2022,4.79,79,54.3,1,731,16
STUD_1040,23,Other,Widowed,Engineering,In-person,Rural,Master,121449,Part-time,2,2,2,0,3.99,1,4.2,2.4,28909,2023,1.97,75,87.8,3,549,12
STUD_1041,28,Male,Married,Journalism,Online,Rural,Bachelor,95831,Part-time,4,3,2,3,2.15,0,5.4,2.3,30540,2023,3.71,53,88.0,1,779,14
STUD_1042,33,Female,Widowed,Management,In-person,Suburban,Bachelor,91171,Employed,2,2,2,1,2.09,0,4.5,3.0,23296,2021,2.92,82,40.8,2,424,18
STUD_1043,23,Other,Single,Journalism,In-person,Urban,Master,125415,Employed,4,4,2,0,3.97,0,4.6,3.9,24872,2021,2.24,90,91.8,3,945,21
STUD_1044,32,Female,Widowed,Agronomy,In-person,Urban,Bachelor,22274,Part-time,6,4,3,4,1.84,1,4.4,3.4,21586,2021,1.56,86,81.6,2,99,16
STUD_1045,20,Female,Widowed,Management,Online,Urban,PhD,108255,Part-time,4,4,2,2,1.27,1,5.9,2.7,25917,2022,2.98,90,81.2,4,683,24
STUD_1046,19,Other,Married,Agronomy,Online,Urban,High School,22667,Unemployed,5,5,5,1,3.93,1,5.1,2.7,30851,2022,3.07,77,77.4,0,998,15
STUD_1047,24,Male,Married,Agronomy,In-person,Urban,High School,25065,Part-time,2,2,2,2,1.16,0,6.0,3.7,21658,2021,2.64,50,94.8,2,565,23
STUD_1048,33,Female,Single,Engineering,Online,Rural,PhD,104361,Unemployed,2,2,2,2,1.22,0,4.3,2.3,38139,2021,2.16,69,60.0,0,452,16
STUD_1049,31,Male,Widowed,Engineering,Online,Suburban,High School,149266,Unemployed,4,4,3,3,1.23,0,5.8,4.0,39621,2023,3.89,58,74.2,2,273,16
STUD_1050,20,Female,Single,Agronomy,In-person,Suburban,Master,54848,Part-time,3,2,3,0,2.58,0,4.4,2.4,35323,2022,1.93,89,42.8,4,301,22
STUD_1051,28,Female,Widowed,Journalism,Online,Suburban,High School,50063,Unemployed,7,7,3,4,3.94,1,5.3,2.5,37381,2023,2.35,77,85.0,4,702,12
STUD_1052,28,Male,Widowed,Engineering,Online,Urban,Bachelor,79726,Unemployed,6,4,4,4,1.21,1,5.8,3.5,25584,2023,2.34,61,68.8,2,956,22
STUD_1053,22,Female,Single,Engineering,In-person,Suburban,Bachelor,52883,Unemployed,6,5,4,1,3.8,0,5.6,2.0,21799,2022,1.56,87,73.7,2,179,19
STUD_1054,26,Male,Married,Management,In-person,Urban,High School,45833,Unemployed,3,3,3,2,1.7,0,4.1,2.6,28482,2021,3.36,82,45.8,4,819,19
STUD_1055,18,Other,Married,Journalism,Online,Suburban,High School,90528,Part-time,3,2,3,2,2.77,0,5.9,2.4,31817,2022,4.6,74,62.6,0,730,22
STUD_1056,21,Male,Married,Journalism,In-person,Urban,Bachelor,127081,Part-time,6,2,6,2,1.98,0,4.8,2.7,38781,2022,2.34,53,47.1,4,837,18
STUD_1057,28,Female,Widowed,Engineering,Online,Rural,PhD,149816,Part-time,3,3,3,1,2.78,1,4.3,4.0,38045,2023,4.07,95,45.0,5,452,13
STUD_1058,27,Male,Single,Journalism,Online,Urban,High School,30968,Employed,5,3,5,3,3.9,1,5.9,3.5,38130,2023,1.43,51,78.4,1,267,13
STUD_1059,34,Female,Single,Management,Online,Suburban,Bachelor,136757,Unemployed,6,4,3,2,1.19,1,5.3,3.3,34940,2022,1.2,63,46.8,3,770,17
STUD_1060,29,Female,Married,Agronomy,Online,Urban,Bachelor,33382,Unemployed,5,5,4,2,3.01,1,5.6,2.8,30551,2022,4.33,87,50.7,2,565,14
